"id","author_label","date","rating","design_credibility","fidelity","implementation","twfe_impl","csdid_impl","bacon","honestdid_impl","dechaisemartin","paper_auditor","design_signal_honestdid","design_signal_bacon_tvt","n_impl_warn","n_impl_fail","short_summary","legacy_rating","fidelity_verdict","impl_axis"
401,"Rossin-Slater (2017)","2026-04-20","MODERATE","D-FRAGILE","F-HIGH","I-MOD","WARN","WARN","NOT_APPLICABLE","WARN","NOT_NEEDED","NOT_APPLICABLE","rm_first/avg/peak_Mbar=0 (D-FRAGILE); CS-NYT peak CI=[-0.207;+0.172]","N/A (RCS; all-eventually-treated; 100% LvE/EvL pairs)",3,0,"all-eventually-treated; cs_controls=[] asymmetry is Axis-2 WARN; Spec A Pattern 42 Axis 3 [re-skeptic 2026-04-20]","MODERATE","WITHIN_TOLERANCE","MOD"
65,"Akosa Antwi, Moriya & Simon (2013)","20562","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","M_first=0, M_avg=0 (both TWFE and CS-NT); M_peak=0 (survives Mbar=0 barely, breaks at 0.25)","N/A (single-timing RCS; Bacon not applicable)",0,0,"ACA mandate raises insurance 3.17pp (t=4.2); TWFE=0.031744 EXACT (0.18% gap); single-timing clean design; Spec A collapse (Lesson7 instance 6) and precision loss are Axis 3 design findings; D-FRAGILE HonestDiD (M_first=M_avg=M_peak=0) structural SIPP SEs; HIGH rating F-HIGH x I-HIGH (upgraded from LOW 2026-04-18)","HIGH","EXACT","HIGH"
61,"Evans, Garthwaite (2014)","2026-04-20","HIGH","D-NA","F-HIGH","I-HIGH","WARN","WARN","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","WARN","N/A (no event study; individual-level treatment)","N/A (single-timing; Bacon not applicable)",0,0,"TWFE re-estimated WITHOUT forced FEs; beta=0.00948 vs paper 0.0095 EXACT 0.18pct gap; F-HIGH x I-HIGH = HIGH [fix 2026-04-20]","HIGH","EXACT","HIGH"
25,"Carrillo, Feres (2019)","20562","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","avg_Mbar=1.0 (D-MODERATE); peak_Mbar=1.75 TWFE / 1.5 CS-NT (D-ROBUST)","N/A (18 time-varying controls preclude Bacon; indirect CS-NT convergence 1.3%)",0,0,"Physician supply +0.116 per 1000 reproduced within 0.05%; Spec A clean (status=OK) reveals genuine estimator gap 16.1% vs misleading 1.3% Spec C; t=-2 pre-period borderline (Axis 3 design finding not impl WARN); avg ATT D-MODERATE (rm_Mbar=1.0); peak D-ROBUST (rm_Mbar=1.75); HIGH rating F-HIGH x I-HIGH (rating upgraded from MODERATE 2026-04-18)","HIGH","EXACT","HIGH"
68,"Tanaka (2014)","20562","HIGH","D-NA","F-HIGH","M-HIGH","PASS","PASS","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","EXACT","N/A (T=2; 0 pre-periods)","N/A (single-timing; single cohort)",0,0,"TWFE=+0.567 (p=0.019) exact match Table3Col2 (beta gap=-0.66% EXACT); CS-NT=+0.522 (ns) directionally consistent; 8.1% gap within RCS bounds; cleanest 2x2 DiD design; all applicable reviewers PASS; fidelity corrected F-HIGH EXACT (Col2 community FEs); prior F-NA due to wrong column comparison","HIGH","EXACT","HIGH"
213,"Estrada & Lombardi (2022)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS (design=D-FRAGILE structural n_post=1)","NOT_NEEDED","EXACT","rm_first/avg/peak_Mbar=0 (D-FRAGILE structural; n_post=1; oscillating not drifting pre-trends)","N/A (single-timing; Bacon not applicable)",0,0,"Dismissal protection reduces turnover -3.7pp; TWFE=-0.03718 EXACT (0.49%); CS-NT=-0.030 consistent (20% RCS gap Pattern25); all 4 estimators agree direction; HonestDiD D-FRAGILE structural (n_post=1; oscillating pre-trends; sharp cutoff credibility); all impl reviewers PASS; HIGH rating F-HIGH x I-HIGH (upgraded from MODERATE 2026-04-18)","HIGH","EXACT","HIGH"
263,"Axbard, Deng (2024)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","Mbar_avg=0 (TWFE); breaks Mbar=0.25; Mbar_peak=0 TWFE/0.25 CS-NT","N/A (single-timing; Bacon not applicable)",0,0,"TWFE=0.00333 EXACT (0.86% gap); CS-NT=0.00260 directional (Pattern-50 SE inflation 6.8x; structural not impl); HonestDiD D-FRAGILE avg Mbar=0; impl all PASS; HIGH rating upgraded from LOW under 3-axis rubric (F-HIGH x I-HIGH); design findings Axis3 not Axis2","HIGH","EXACT","HIGH"
262,"Anderson, Charles, Rees (2020)","20562","MODERATE","D-FRAGILE","F-HIGH","I-MOD","PASS","WARN","WARN","PASS","NOT_NEEDED","NOT_APPLICABLE","CS-NT_first_Mbar~0.25 robust at M=0 (lb=0.32); breaks at Mbar=0.25; TWFE not robust at Mbar=0 (imprecision, not pre-trends)","TvU_avg=9.15 vs timing_avg=2.5; TvU_share=11.4% (D-ROBUST signal); timing-grp 88.6% exposes TWFE to heterogeneity",2,0,"TWFE=1.221 ns (t=1.38); CS-NT=0.995 sig (t=2.46); hospital desegregation via Medicare; 2 impl WARNs: Spec A CS-NT=0/NA (Pattern42 candidate) + run_bacon flag mismatch; design findings Axis3: cohort imbalance 1967=85%, TvU heterogeneity, M_avg=0; MODERATE rating F-NA x I-MOD (upgraded from LOW under 3-axis rubric)","MODERATE","EXACT","MOD"
267,"Bhalotra, Clarke, Gomes, Venkataramani (2022)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","SKIPPED","PASS","NOT_NEEDED","NOT_APPLICABLE","TWFE_peak_Mbar=0 (D-FRAGILE; breaks at Mbar=0.25); CS-NT all targets D-FRAGILE","Positive_TVU_late_adopters_26.7pct_(2005+2010+2012); Bacon_SKIPPED_(allow_unbalanced=true)",0,0,"Reserved-seat quotas reduce lnMMR: TWFE=-0.082 (0.02pct gap); CS-DiD ATT=-0.112 to -0.127 (37-55pct larger; Bacon-attenuation Axis3); D-FRAGILE HonestDiD (n_pre=2 structural); rating corrected MODERATE->HIGH (F-NA x I-HIGH; all WARNs are Axis3 design findings)","HIGH","EXACT","HIGH"
290,"Arbogast et al. (2022)","20562","MODERATE","D-FRAGILE","F-MOD","M-MOD","WARN","PASS","WARN","WARN","NOT_NEEDED","NOT_APPLICABLE","TWFE_avg_Mbar=0 (D-FRAGILE); peak_Mbar=0.25 (D-MODERATE); SA pre-trends sig t=-4/-5","TVU_dominant_88.2pct; cohort60_outlier (-0.062); cohort67_positive (+0.005)",1,0,"CS-DID now PASS (allow_unbalanced=true; CS-NT=-0.0298 vs paper -0.031 = 3.7% gap); SA pre-trends t=-4/-5 sig (t-stat>4); TWFE=-0.0182 (6% data-substitute gap); avg ATT fragile at Mbar=0.25; peak D-MODERATE; Bacon TVU=88.2% clean; MODERATE rating F-NA x M-MOD","MODERATE","WARN","MOD"
321,"Xu (2023)","2026-04-20","HIGH","D-FRAGILE","F-HIGH","I-HIGH","WARN","WARN","NOT_APPLICABLE","WARN","NOT_NEEDED","NOT_APPLICABLE","TWFE_avg_Mbar=0.25 (D-FRAGILE); CS-NT_avg_Mbar=0.25 (D-FRAGILE); peak_Mbar=0.75 TWFE/0.50 CS-NT (D-MODERATE)","N/A (single-timing; Bacon not applicable)",3,0,"pre-trends in both TWFE and CS-NT are Axis-3 design findings [re-skeptic 2026-04-20]","HIGH","EXACT","HIGH"
323,"Prem, Vargas, Mejia (2023)","2026-04-20","HIGH","D-MODERATE","F-NA","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","TWFE_avg_Mbar=1.25 (D-MODERATE/ROBUST); CS-NT_avg_Mbar=1.50 (D-ROBUST); first-period D-FRAGILE (Mbar=0-0.25)","N/A (single-cohort; 100% TvU by construction)",0,0,"continuous→binary; single-cohort; D-MODERATE for avg/peak, D-FRAGILE for first [re-skeptic 2026-04-20]","HIGH","NOT_APPLICABLE","HIGH"
335,"Le Moglie, Sorrenti (2022)","20562","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","avg_Mbar=0 (D-FRAGILE): TWFE avg CI=[0.005,0.053] excl zero at Mbar=0 only; all targets incl zero at Mbar=0.25","N/A (single-cohort; Bacon not applicable)",0,0,"Single-cohort mafia DiD; TWFE=0.04053 EXACT (gap=-1.14pct); PDF confirmed 2026-04-19; CS-NT=0.04636 (14pct larger; design finding not impl); Spec A collapse Pattern42 (18 direct-level controls propensity separation); contrast paper25 CLEAN same count baseline x time interactions; HonestDiD D-FRAGILE avg Mbar=0; HIGH F-HIGH x I-HIGH; Lesson7 COLLAPSE-single-cohort canonical","HIGH","EXACT","HIGH"
358,"Bargain, Boutin, Champeaux (2019)","20562","HIGH","D-NA","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","NOT_APPLICABLE","N/A (T=2; 0 pre-periods; no event study)","N/A (single-timing; single cohort)",0,0,"COLLAPSE-2x2 exemplar (Lesson 7 hexagon); TWFE=4.181 EXACT (0.003%); Spec B CS-NT=4.591 directionally consistent (7.3% gap); Spec A collapses to 0 (Pattern 42, 30 direct controls + 2x2 = max propensity overfit); impl all PASS; rating upgraded HIGH (from MODERATE) under 3-axis rubric; F-NA x I-HIGH","HIGH","EXACT","HIGH"
395,"Malkova (2018)","2026-04-20","HIGH","D-MODERATE","F-NA","I-HIGH","WARN","WARN","PASS","WARN","NOT_NEEDED","NOT_APPLICABLE","TWFE_D-FRAGILE (rm_Mbar=0; contaminated); CS-NYT_D-MODERATE (rm_Mbar=1.0 robust; sign loss at Mbar=1.25)","100% timing (EvL+LvE); LvE_forbidden_45.5pct; EvL_clean_54.5pct; no TVT/TVU",3,0,"Spec A Pattern-42 is Axis-3 design finding [re-skeptic 2026-04-20]","HIGH","NOT_APPLICABLE","HIGH"
309,"Johnson, Schwab, Koval (2024)","20562","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","M_avg=0.25(TWFE)/0.25(CS-NT); M_first=0.25/0; M_peak=0.25/0","TvT=27.1% D-ROBUST (prior balanced run; Bacon NOT_APPLICABLE under current metadata)",0,0,"TWFE=-0.137 reproduced exactly (0.24%); CS-DID recovered 2026-04-19 (allow_unbalanced=true fix): CS-NT=-0.033 CS-NYT=-0.034 (4x smaller than TWFE, insignificant); cohort-1989 TvU sign reversal (+0.316) is leading explanation for TWFE/CS-DID gap; design D-MODERATE; rating upgraded from LOW to MODERATE (CS-DID NA resolved, bacon NOT_APPLICABLE)","HIGH","EXACT","HIGH"
311,"Galasso & Schankerman (2024)","20562","LOW","D-MODERATE","F-HIGH","I-LOW","WARN","PASS","WARN","PASS","NOT_NEEDED","EXACT","Mbar_first=2.0 (very robust); Mbar_avg=0.75 TWFE/1.25 CS-NT (D-MODERATE)","TvT_not_computed; expected_low (84.6% never-treated; run_bacon=false)",2,0,"CS-NT=0.7135 matches TWFE=0.6625 direction (+7.7% premium; allow_unbalanced fix); paper EXACT (0.07%); 2 impl WARNs: clustering mismatch + bacon disabled; D-MODERATE design","LOW","EXACT","LOW"
60,"Schmitt (2018)","20562","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","PASS","PASS","NOT_NEEDED","EXACT","M_first_CS=0.25 (D-FRAGILE border); M_avg=0; M_peak=0 (all targets break at Mbar=0.25)","TVU_dominant_93.8pct; LvE+EvL=6.2pct; TVU_mean=0.053 matches CS-NT exactly",0,0,"TWFE=0.0702 EXACT (0.25%); all 5 estimators positive (0.053-0.093); Spec A AMPLIFY: CS+6ctrls=0.080 vs unconditional 0.059 (+57% magnitude); headline gap 24.6% collapses to -14.5% in Spec A; Bacon 93.8% TVU clean; pre-trend t=-4 borderline (t~-1.22) design signal; D-FRAGILE; rating upgraded LOW->HIGH under 3-axis rubric (paper-auditor EXACT; all WARNs are design findings not impl errors)","HIGH","EXACT","HIGH"
125,"Levine, McKnight & Heep (2011)","20562","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","rm_first_twfe=0 null-robust; rm_avg_twfe=0 null-robust; rm_peak_twfe=0 (barely excludes zero TWFE only); CS-NT all targets null-robust at all Mbar","RCS: Bacon inapplicable",0,0,"TWFE=-0.000452 replicates paper null exactly (diff/SE=0.007); Pattern 51 RCS inflation (Spec A CS-NT=-0.036 9x inflated from -0.004) reclassified as design finding not impl WARN; all no-controls estimators confirm null; 5-estimator unanimity; Lesson 7 INFLATE exemplar; HIGH rating F-HIGH x I-HIGH (upgraded from MODERATE 2026-04-18)","HIGH","WITHIN_TOLERANCE","HIGH"
47,"Clemens (2015)","20562","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","Mbar_first=2.0/1.75 (TWFE/CS-NT); Mbar_avg=2.0/1.50; Mbar_peak=1.75/1.25; pre-trend t=-5 sig (D-MODERATE design finding not impl failure)","N/A (single-cohort; 100% TvU weight=1.0)",0,0,"TWFE=-0.09617 EXACT (0.03%); CS-NT=-0.12429 (0.4% gap); Spec A Lesson7 collapse (4th instance: direct-level ctrls + DR propensity + 3 treated states); Spec B: TWFE-0.098 vs CS-0.124 (27.5% larger); covariate margin -1.4% (OLS robust); pre-trend t=-5 design finding; rating corrected LOW->HIGH under 3-axis rubric","HIGH","EXACT","HIGH"
347,"Courtemanche et al. (2025)","20562","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","Mbar_first=sign-rev+0.105; Mbar_avg_rm=0(breaks at 0.25); Mbar_peak_rm=0(CI incl zero)","TvT=4.6pct (clean); informational only; attenuation from trend controls not Bacon weights",0,0,"Calorie posting law: TWFE=-0.174 EXACT (0.23pct); CS-NT=-0.448 (2.5x; Lesson2 amplification quartet 4th member); TvT=4.6pct clean; D-FRAGILE (avg breaks Mbar=0.25; first-period sign-rev +0.105); HIGH F-HIGH x I-HIGH; upgraded from LOW (old rubric conflated design/impl)","HIGH","EXACT","HIGH"
147,"Greenstone, Hanna (2014)","20562","MODERATE","D-BROKEN","F-MOD","I-HIGH","PASS","PASS","SKIPPED","PASS","NOT_NEEDED","NOT_APPLICABLE","M_bar=0 first-post and peak (TWFE and CS-NT); all CIs include zero at Mbar=0; D-BROKEN","N/A (unbalanced panel; Bacon skipped)",0,0,"TWFE=8.015 replicates metadata target exactly (<0.06% gap); feols SE gap (11.93 vs 12.59) explained by singleton removal; all CS-DID directionally consistent; implementation I-HIGH; D-BROKEN: HonestDiD M_bar=0 all targets (pre-trends TWFE h=-5:-35.6 CS-NT:-55.2 ug/m3 dwarf 8 ug/m3 ATT); Spec A Pattern42 COLLAPSE (9 direct-level SCAP controls); Spec B estimator margin +52%; HIGH rating F-NA x I-HIGH","MODERATE","WARN","HIGH"
44,"Bosch, Campos-Vazquez (2014)","20562","HIGH","D-FRAGILE","F-NA","I-HIGH","PASS","PASS","PASS","PASS","NOT_NEEDED","NOT_APPLICABLE","Mbar_first=0.25 (D-FRAGILE); Mbar_avg=0.25; Mbar_peak=0.25; all targets lose sig at Mbar=0.5","TVT=0% (all-eventually-treated; 100% Later-vs-Earlier pairs; sign heterogeneity range -0.15 to +0.19)",0,0,"Seguro Popular effect on log employers 6-50: TWFE=-0.00665 (not sig); 0% TvT Bacon weight (all-eventually-treated); D-FRAGILE HonestDiD (M_bar=0.25 all targets); 25 potentially endogenous time-varying controls (10x sensitivity); gvar=200 singleton; all WARNs are design findings (Axis 3); HIGH rating F-NA x I-HIGH under 3-axis rubric (upgraded from LOW under old conflated rubric)","HIGH","NOT_APPLICABLE","HIGH"
9,"Dranove et al. (2021)","20562","MODERATE","D-MODERATE","F-HIGH","I-MOD","PASS","PASS","PASS (TvT=21.5%)","WARN (n_pre=2 of 8)","NOT_NEEDED","WITHIN_TOLERANCE (TWFE=EXACT)","Mbar_avg: TWFE=0.5 (lower [0.5,1]), CS-NT=1.0 (ROBUST boundary)","TVT=21.5% (<30%); 9/10 cohorts negative TVU",1,0,"TWFE=-0.176 EXACT; CS-NT=-0.208 (3.2% gap version-explained); all 5 estimators agree; HonestDiD avg/peak D-MODERATE; n_pre=2 of 8 impl WARN; Spec A Pattern42 collapse; MODERATE F-HIGH x I-MOD (3-axis rubric)","MODERATE","EXACT","MOD"
133,"Hoynes et al. (2015)","20562","MODERATE","D-FRAGILE","F-MOD","I-MOD","PASS","WARN","SKIPPED","PASS","NOT_NEEDED","NOT_APPLICABLE","TWFE_avg_Mbar=0.25 (D-FRAGILE); peak_Mbar=0.25; CS-NT uninformative (wide SEs)","N/A (single-cohort; Bacon not applicable)",1,0,"TWFE=-0.387 vs paper -0.355 (9% gap; F-NA); CS-NT=-0.403 coherent with single-cohort; Spec A collapse (racemiss; Lesson7 inst9); significant CS-NT pre-trends (t=-3/t=-2); HonestDiD avg/peak break at Mbar=0.25; MODERATE rating upgraded from LOW (old rubric counted design findings as impl WARNs)","MODERATE","WARN","MOD"
97,"Bhalotra et al. (2021)","20562","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","SKIPPED","PASS","NOT_NEEDED","EXACT","M_first=0; M_avg=0.25; M_peak=0.50 TWFE/0.25 CS-NT; pre-trends +0.335 at t=-4 structural","N/A (single-cohort; Bacon SKIPPED)",0,0,"TWFE=-0.303 EXACT (0.01%); CS-NT=-0.352 EXACT (0.02%); additive_2 composite; impl all PASS; pre-trends +0.335 Axis3 design finding; Pattern47 Gardner divergence; HIGH F-HIGH x I-HIGH; upgraded from LOW; D-FRAGILE design","HIGH","EXACT","HIGH"
271,"Sekhri, Shastry (2024)","2026-04-19","HIGH","D-ROBUST","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE (no PDF; informational EXACT via metadata)","Mbar_avg>2.0 (D-ROBUST); Mbar_peak>2.0 (D-ROBUST); Mbar_first=0.50 (D-MODERATE, structural year-1)","N/A (single-cohort; single TvU pair weight=1.0)",0,0,"TWFE=67.81 EXACT (0.00015% via metadata); CS-NT=69.75 identical to TWFE-no-ctrls; SA/Gardner convergent; single-cohort Green Revolution; all applicable reviewers PASS; avg/peak HonestDiD D-ROBUST at Mbar>2.0; cleanest design in audit sample; HIGH F-NA x I-HIGH (3-axis rubric 2026-04-19)","HIGH","EXACT","HIGH"
253,"Bancalari (2024)","2026-04-19","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","Axis3 (TVU=24.5%;LvAT=19.5%;LvE+EvL=56.0%)","PASS","NOT_NEEDED","NOT_APPLICABLE (metadata EXACT 0.41%)","rm_avg_Mbar=0 (D-FRAGILE structural 6-pre-period + growing effects); rm_peak_Mbar=0; rm_first_Mbar=0","TVU=24.5% clean all positive; LvAT=19.5% all negative cohort2005-as-pseudo; LvE+EvL=56.0%; total contaminated=75.5%",0,0,"TWFE=0.737 EXACT (0.41%); CS-NT dynamic=2.974; paper CS-DID=1.79 (R/Stata agg artefact pair-balanced=1.78 exact); Bacon 75.5% contaminated weight (LvAT all-negative); HonestDiD M_bar=0 structural; all 5 estimators positive growing; HIGH rating F-NA x I-HIGH (3-axis rubric); Lesson8 TWFE-attenuation canonical case; CS-NT vs TWFE gap is Axis3 design finding","HIGH","EXACT","HIGH"
228,"Sarmiento, Wagner & Zaklan (2023)","2026-04-19","HIGH","D-MODERATE","F-NA","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","M_bar_avg_TWFE=0 (D-MODERATE); M_bar_peak_TWFE=0.25 (robust long-run)","N/A (unbalanced panel; informational TvT<5%)",0,0,"LEZs reduce PM10 -1.95 ug/m3 (CS-DiD); NT/NYT 0.3% convergence (Lesson6); impl all PASS; granularity gap Axis-3 not WARN; D-MODERATE (avg fragile; TWFE peak robust Mbar=0.25); HIGH F-NA x I-HIGH (upgraded from MODERATE)","HIGH","NOT_APPLICABLE","HIGH"
