our_id,our_author,our_outcome,hsk_category,hsk_policy_label,hsk_match_type,hsk_beta_channel,mvpf_constructible,notes
290,"Arbogast et al. (2022)",mchiprate,Health child,"Medicaid/CHIP administrative burden","direct_extension","G (lower administrative burden → higher take-up → higher direct cost AND higher future fiscal externality)",yes,"Administrative-burden paper. β (take-up of Medicaid/CHIP) is the numerator for Wherry-style child-Medicaid MVPF. Directly plugs into HSK's MC child MVPFs."
304,"Arthi, Beach & Hanlon (2022)",census_mr_tot,Top taxes,"Recessions/cotton famine","no_match","NA (historical shock)",no,"Historical mortality study; not a policy MVPF."
305,"Brodeur & Yousaf (2020)",ln_emp_pop,Top taxes,"Mass shootings","no_match","NA (shock, not policy)",no,"Not a policy intervention."
309,"Johnson, Schwab & Koval (2024)",ln_acc_rateY_matt,Cash transfers,"Workplace safety retaliation protection","no_match","NA (regulation)",no,"OSHA retaliation law. Not a fiscal transfer."
311,"Galasso & Schankerman (2024)",access,Health adult,"Medicines Patent Pool","no_match","NA (non-US, global access policy)",no,"HIV/TB drug licensing. Outside HSK scope."
321,"Xu (2023)",log_deaths_town,Health child,"1918 pandemic India","no_match","NA (non-US historical)",no,"Colonial India public health. Outside HSK."
323,"Prem, Vargas & Mejia (2023)",coca_area_grid,Top taxes,"Illegal crops (Colombia)","no_match","NA (non-US)",no,"Colombian drug policy. Outside HSK scope."
333,"Clarke & Muhlrad (2021)",abortionRelatedPop,Health adult,"Abortion laws","no_match","NA (regulation)",no,"Abortion reform. Regulation, not fiscal."
335,"Le Moglie & Sorrenti (2022)",new_std_ln,Top taxes,"Organized crime Italy","no_match","NA (non-US)",no,"Italian mafia study. Outside HSK scope."
337,"Cameron, Seager & Shah (2021)",sept_any,Health adult,"Sex-work criminalization","no_match","NA (non-US regulation)",no,"Indonesian sex-work law. Outside HSK."
347,"Courtemanche et al. (2025)",bmi,Nutrition,"Calorie posting laws","topical_extension","WTP (utility gain from information); G ~0 (regulation, small enforcement cost)",partial,"Information regulation adjacent to HSK's SNAP info (WIC/SNAP). MVPF is tractable but novel."
358,"Bargain, Boutin & Champeaux (2019)",ibp,Cash transfers,"Arab Spring / women's participation","no_match","NA (non-US political)",no,"Egyptian political reform. Outside HSK scope."
359,"Anderson, Charles, Olivares & Rees (2019)",ln_tb_lungs,Health adult,"Public health campaign 1910s","topical_extension","WTP (VSL × mortality); G (public health costs)",partial,"First US public health campaigns. Same historical bucket as HSK's Medicaid intro."
380,"Kuziemko, Meckel & Rossin-Slater (2018)",blan_mort100,Health child,"Texas Medicaid managed care","topical_extension","G (cost containment vs infant mortality)",partial,"Texas Medicaid MC. Companion to id_9 (Dranove-Ody-Starc) on the same policy lever. Could aggregate with id_9 for a managed-care MVPF."
395,"Malkova (2018)",gfr_official,Cash transfers,"Soviet maternity benefits","no_match","NA (non-US historical)",no,"Soviet family policy. Outside HSK scope."
401,"Rossin-Slater (2017)",married_tobiodad,Cash transfers,"Paternity establishment / IV-D","topical_extension","WTP (child welfare + family formation); G (reduced AFDC/SNAP take-up)",partial,"Adjacent to HSK's AFDC term limits / cash transfers."
419,"Kahn, Li & Zhao (2015)",cod,Top taxes / Environment,"Water pollution China","no_match","NA (non-US)",no,"Chinese pollution enforcement."
420,"Bailey & Goodman-Bacon (2015)",amr_eld,Health adult,"Community Health Centers (War on Poverty)","direct_extension","WTP (elder mortality × VSL); G (Medicare offset)",yes,"CHC program for older adults. Same author (Goodman-Bacon) whose Medicaid-intro paper feeds HSK's MC intro MVPF. Could construct an analogous CHC-MVPF."
432,"Gallagher (2014)",ln_takeup_proxy1,Cash transfers,"Flood insurance take-up","topical_extension","WTP (insurance value); G (NFIP subsidy net of claims)",partial,"NFIP flood insurance. Adjacent to HSK's Housing Voucher category but different instrument."
433,"DeAngelo & Hansen (2014)",fat_vmt,Top taxes,"Traffic-police enforcement","topical_extension","WTP (VSL × fatality reduction); G (enforcement cost + speeding-ticket revenue)",partial,"Regulation with clear VSL × β_mortality WTP channel. MVPF is definable but not in HSK catalog."
437,"Hausman (2014)",personrem,Top taxes,"Nuclear safety regulation","no_match","NA (regulation)",no,"Price-Anderson Act. Not a fiscal transfer."
,"Danzer & Zyska (2023)",Y,,"no_match","NA (metadata missing id)",no,"Paper metadata incomplete."
744,"Jayachandran et al. (2010)",lnm_rate,Health child,"Sulfa drugs / 20th-century mortality","topical_extension","WTP (VSL × mortality); G (diffuse, historical)",partial,"Historical mortality decline. Conceptually aligned with HSK's discussion of mortality reductions."
,"Fisman & Wang (2017)",exceedquota,,"no_match","NA (metadata missing id)",no,"Paper metadata incomplete."
,"Cao & Ma (2023)",ft90,,"no_match","NA (metadata missing id)",no,"Paper metadata incomplete."
